code_dep,departement,nom,slug,commune_depart,justification,niveau_souhaite,difficulte,denivele_positif_m,distance_km,duree_estimee,point_depart_precis,parking_info,url_trace,gpx_url,lat_depart,lng_depart
46,Lot,Circuit de Lolmie,circuit-de-lolmie,Lendou-en-Quercy,,facile,T1,127,6.1,1h57,,,,,44.28775195,1.24427975
48,Lozère,Les couronnes,les-couronnes,Florac Trois Rivières,,difficile,T3,869,15.2,6h42,,,,,44.31317875,3.5828854000000003
48,Lozère,La Flandonenque,la-flandonenque,Saint-Germain-de-Calberte,,modere,T2,497,9.3,3h59,,,,,44.2459409,3.7883676
48,Lozère,Baousse del Biel,baousse-del-biel,Saint-Pierre-des-Tripiers,,modere,T2,302,7.6,2h54,,,,,44.23041055,3.23760535
48,Lozère,Aire-de-Côte,aire-de-cote,Bassurels,,facile,T1,223,7.8,2h42,,,,,44.12368655,3.6207903999999997
48,Lozère,Cassini,cassini,Pont de Montvert - Sud Mont Lozère,,modere,T2,323,9.3,3h24,,,,,44.393596200000005,3.86401085
30,Gard,D'un Gardon à l'autre,dun-gardon-a-lautre,Saint-Jean-du-Gard,,modere,T2,560,8.7,4h02,,,,,44.1173981,3.87836365
48,Lozère,Dargilan,dargilan,Meyrueis,,facile,T1,230,9.7,3h11,,,,,44.1818436,3.39246685
48,Lozère,Domaine des Boissets,domaine-des-boissets,Sainte-Enimie,,modere,T2,526,7.8,3h42,,,,,44.37275965,3.42270185
48,Lozère,Le Lozeret,le-lozeret,Cubières,,modere,T2,329,7.8,3h03,,,,,44.4676672,3.7549786000000003
48,Lozère,Le Viala - Racoules,le-viala---racoules,Fraissinet-de-Lozère,,modere,T2,355,7.3,3h,,,,,44.368880399999995,3.7284315
50,Manche,Le Sentier du Contrebandier,le-sentier-du-contrebandier,Jobourg,,modere,T2,~364,10.4,3h49,,,,,49.67671835,-1.9221118000000001
